Venue,all,conference,journal,ICSE,FSE,RE,MODELS,TSE,TOSEM,REJ,SOSYM
 Program Analysis,0.105,0.151,0.102,0.156,0.246,0.021,0.032,0.121,0.185,0.016,0.044
 Requirements,0.145,0.142,0.163,0.117,0.063,0.473,0.109,0.102,0.078,0.513,0.147
 Metrics,0.098,0.056,0.097,0.064,0.057,0.042,0.033,0.141,0.092,0.055,0.04
 Applications,0.089,0.079,0.083,0.082,0.082,0.077,0.062,0.089,0.087,0.075,0.071
 Performance,0.069,0.028,0.041,0.028,0.031,0.018,0.028,0.056,0.03,0.019,0.034
 Miscellaneous,0.01,0.008,0.008,0.008,0.006,0.01,0.007,0.006,0.011,0.004,0.011
 Testing,0.079,0.068,0.073,0.071,0.097,0.015,0.04,0.118,0.075,0.016,0.017
 Source Code,0.143,0.158,0.094,0.187,0.171,0.079,0.079,0.108,0.132,0.05,0.061
 Architecture,0.043,0.045,0.04,0.044,0.039,0.056,0.058,0.035,0.03,0.051,0.05
 Modeling,0.124,0.147,0.241,0.089,0.109,0.134,0.519,0.153,0.211,0.145,0.495
 Developer,0.095,0.117,0.058,0.154,0.098,0.073,0.034,0.07,0.067,0.054,0.03
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Eucledian(Lesser Better),,0.971,0.927,0.946,0.879,0.72,0.637,0.962,0.915,0.684,0.659
Cosine(Greater Better),,0.084,0.137,0.114,0.177,0.36,0.423,0.092,0.145,0.403,0.401
,,,,,,,,,,,
Eucledian - Local,,,,0.974,0.932,0.693,0.663,0.936,0.936,0.719,0.876
Cosine - Local,,,,0.079,0.135,0.411,0.411,0.128,0.13,0.383,0.277
