Index, Cites, Year, Title, Authors
Program Analysis, 304, 1991, "Using Program Slicing in Software Maintenance", "keith gallagher,james r. lyle"
Program Analysis, 285, 2001, "Dynamically Discovering Likely Program Invariants to Support Program Evolution", "michael d. ernst,jake cockrell,william g. griswold,david notkin"
Program Analysis, 265, 2005, "CUTE a concolic unit testing engine for C", "koushik sen,darko marinov,gul a. agha"
Program Analysis, 249, 2002, "Simplifying and Isolating FailureInducing Input", "andreas zeller,ralf hildebrandt"
Program Analysis, 190, 1999, "Formalization and verification of eventdriven process chains", "wil m. p. van der aalst"
Requirements, 1755, 1994, "A Metrics Suite for Object Oriented Design", "shyam r. chidamber,chris f. kemerer"
Requirements, 543, 1991, "Software Risk Management Principles and Practices", "barry w. boehm"
Requirements, 388, 2003, "The Pragmatics of ModelDriven Development", "bran selic"
Requirements, 388, 2005, "Supporting Controlled Experimentation with Testing Techniques An Infrastructure and its Potential Impact", "hyunsook do,sebastian g. elbaum,gregg rothermel"
Requirements, 380, 2001, "Guest Editors Introduction Global Software Development", "james d. herbsleb,deependra moitra"
Metrics, 617, 1996, "A Validation of ObjectOriented Design Metrics as Quality Indicators", "victor r. basili,lionel c. briand,walcelio l. melo"
Metrics, 413, 1993, "Objectoriented metrics that predict maintainability", "wei li 0014,sallie m. henry"
Metrics, 375, 1999, "A Critique of Software Defect Prediction Models", "norman e. fenton,martin neil"
Metrics, 372, 1997, "Estimating Software Project Effort Using Analogies", "martin j. shepperd,christopher j. schofield"
Metrics, 372, 2007, "Data Mining Static Code Attributes to Learn Defect Predictors", "tim menzies,jeremy greenwald,art frank"
Applications, 1360, 2004, "QoSAware Middleware for Web Services Composition", "liangzhao zeng,boualem benatallah,anne hee hiong ngu,marlon dumas,jayant kalagnanam,henry chang"
Applications, 909, 2011, "CloudSim a toolkit for modeling and simulation of cloud computing environments and evaluation of resource provisioning algorithms", "rodrigo n. calheiros,rajiv ranjan,anton beloglazov,cesar augusto fonticielha de rose,rajkumar buyya"
Applications, 439, 1998, "Understanding Code Mobility", "alfonso fuggetta,gian pietro picco,giovanni vigna"
Applications, 423, 2007, "Adaptive Service Composition in Flexible Processes", "danilo ardagna,barbara pernici"
Applications, 345, 2002, "A taxonomy and survey of grid resource management systems for distributed computing", "klaus krauter,rajkumar buyya,muthucumaru maheswaran"
Performance, 1044, 1991, "Graph Drawing by Forcedirected Placement", "thomas m. j. fruchterman,edward m. reingold"
Performance, 243, 2003, "Key Establishment in Large Dynamic Groups Using OneWay Function Trees", "alan t. sherman,david a. mcgrew"
Performance, 226, 2002, "Watermarking TamperProofing and ObfuscationTools for Software Protection", "christian s. collberg,clark d. thompson"
Performance, 216, 2005, "On the unification power of models", "jean bezivin"
Performance, 206, 2003, "Fault Localization With Nearest Neighbor Queries", "manos renieris,steven p. reiss"
Miscellaneous, 176, 1996, "The empirical investigation of PerspectiveBased Reading", "victor r. basili,scott green,oliver laitenberger,filippo lanubile,forrest shull,lars sivert sorumgard,marvin v. zelkowitz"
Miscellaneous, 106, 2006, "Matters of MetaModeling", "thomas kuhne"
Miscellaneous, 90, 2000, "Testing a roadmap", "mary jean harrold"
Miscellaneous, 84, 2000, "Software architecture a roadmap", "david garlan"
Miscellaneous, 69, 2007, "Highperformance Earth system modeling with NASAGSFCs Land Information System", "christa d. peters-lidard,paul r. houser,yudong tian,sujay v. kumar,james geiger,s. olden,l. lighty,b. doty,p. dirmeyer,j. adams,k. mitchell,eric f. wood,j. sheffield"
Testing, 467, 2004, "Searchbased software test data generation a survey", "phil mcminn"
Testing, 438, 2001, "Prioritizing Test Cases For Regression Testing", "gregg rothermel,roland h. untch,chengyun chu,mary jean harrold"
Testing, 379, 1997, "The AETG System An Approach to Testing Based on Combinatiorial Design", "david m. cohen,siddhartha r. dalal,michael l. fredman,gardner c. patton"
Testing, 361, 1993, "Operational Profiles in SoftwareReliability Engineering", "john d. musa"
Testing, 321, 1991, "ConstraintBased Automatic Test Data Generation", "richard a. demillo,jeff offutt"
Source Code, 470, 2002, "CCFinder A Multilinguistic TokenBased Code Clone Detection System for Large Scale Source Code", "toshihiro kamiya,shinji kusumoto,katsuro inoue"
Source Code, 387, 2002, "Recovering Traceability Links between Code and Documentation", "giuliano antoniol,gerardo canfora,gerardo casazza,andrea de lucia,ettore merlo"
Source Code, 294, 1998, "Clone Detection Using Abstract Syntax Trees", "ira d. baxter,andrew yahin,leonardo mendonca de moura,marcelo sant'anna,lorraine bier"
Source Code, 260, 2005, "Mining Version Histories to Guide Software Changes", "thomas zimmermann 0001,peter weissgerber,stephan diehl 0001,andreas zeller"
Source Code, 242, 2003, "Locating Features in Source Code", "thomas eisenbarth,rainer koschke,daniel simon"
Architecture, 658, 2000, "A Classification and Comparison Framework for Software Architecture Description Languages", "nenad medvidovic,richard n. taylor"
Architecture, 205, 2006, "The FRACTAL component model and its support in Java", "eric bruneton,thierry coupaye,matthieu leclercq,vivien quema,jean-bernard stefani"
Architecture, 191, 2005, "Software Reuse Research Status and Future", "william b. frakes,kyo kang"
Architecture, 168, 1995, "Architectural Mismatch Why Reuse Is So Hard", "david garlan,robert allen,john ockerbloom"
Architecture, 166, 1993, "A reverseengineering approach to subsystem structure identification", "hausi a. muller,mehmet a. orgun,scott r. tilley,james s. uhl"
Modeling, 1161, 1997, "The Model Checker SPIN", "gerard j. holzmann"
Modeling, 648, 1995, "The 41 View Model of Architecture", "philippe kruchten"
Modeling, 474, 1991, "Modeling and Verification of Time Dependent Systems Using Time Petri Nets", "bernard berthomieu,michel diaz"
Modeling, 410, 1997, "A Formal Basis for Architectural Connection", "robert allen,david garlan"
Modeling, 364, 1996, "The STATEMATE Semantics of Statecharts", "david harel,amnon naamad"
Developer, 639, 2009, "Guidelines for conducting and reporting case study research in software engineering", "per runeson,martin host"
Developer, 511, 2002, "Two case studies of open source software development Apache and Mozilla", "audris mockus,roy thomas fielding,james d. herbsleb"
Developer, 490, 2008, "Empirical studies of agile software development A systematic review", "tore dyba,torgeir dingsoyr"
Developer, 481, 2002, "Preliminary Guidelines for Empirical Research in Software Engineering", "barbara a. kitchenham,shari lawrence pfleeger,lesley pickard,peter jones,david c. hoaglin,khaled el emam,jarrett rosenberg"
Developer, 349, 2003, "An Empirical Study of Speed and Communication in Globally Distributed Software Development", "james d. herbsleb,audris mockus"
