Index, Cites, Year, Title, Authors
Program Analysis, 112, 2012, "GenProg A Generic Method for Automatic Software Repair", "claire le goues,thanhvu h. nguyen,stephanie forrest,westley weimer"
Program Analysis, 103, 2009, "Automatically finding patches using genetic programming", "westley weimer,thanhvu h. nguyen,claire le goues,stephanie forrest"
Program Analysis, 88, 2012, "Where should the bugs be fixed More accurate information retrievalbased bug localization based on bug reports", "jian zhou,hongyu zhang,david lo"
Program Analysis, 87, 2011, "Are automated debugging techniques actually helping programmers", "chris parnin,alessandro orso"
Program Analysis, 84, 2010, "A survey of algorithmic skeleton frameworks highlevel structured parallel programming enablers", "horacio gonzalez-velez,mario leyton"
Requirements, 155, 2010, "Seven process modeling guidelines 7PMG", "jan mendling,hajo a. reijers,wil m. p. van der aalst"
Requirements, 112, 2010, "A Systematic Review of the Application and Empirical Investigation of SearchBased Test Case Generation", "shaukat ali khan,lionel c. briand,hadi hemmati,rajwinder kaur panesar-walawege"
Requirements, 109, 2012, "A taxonomy of modelbased testing approaches", "mark utting,alexander pretschner,bruno legeard"
Requirements, 98, 2014, "InterCloud architectures and application brokering taxonomy and survey", "nikolay grozev,rajkumar buyya"
Requirements, 92, 2011, "Software product line testing  A systematic mapping study", "emelie engstrom,per runeson"
Metrics, 156, 2012, "A Systematic Literature Review on Fault Prediction Performance in Software Engineering", "tracy hall,sarah beecham,david bowes,david gray,steve counsell"
Metrics, 131, 2009, "Predicting faults using the complexity of code changes", "ahmed e. hassan"
Metrics, 121, 2010, "A systematic and comprehensive investigation of methods to build and evaluate fault prediction models", "erik arisholm,lionel c. briand,eivind b. johannessen"
Metrics, 120, 2009, "Crossproject defect prediction a large scale experiment on data vs domain vs process", "thomas zimmermann 0001,nachiappan nagappan,harald c. gall,emanuel giger,brendan murphy"
Metrics, 116, 2009, "On the relative value of crosscompany and withincompany data for defect prediction", "burak turhan,tim menzies,ayse bener,justin s. di stefano"
Applications, 909, 2011, "CloudSim a toolkit for modeling and simulation of cloud computing environments and evaluation of resource provisioning algorithms", "rodrigo n. calheiros,rajiv ranjan,anton beloglazov,cesar augusto fonticielha de rose,rajkumar buyya"
Applications, 149, 2011, "A survey on privacy in mobile participatory sensing applications", "delphine christin,andreas reinhardt,salil s. kanhere,matthias hollick"
Applications, 114, 2011, "An Attack Surface Metric", "pratyusa k. manadhata,jeannette m. wing"
Applications, 92, 2011, "Dynamic QoS Management and Optimization in ServiceBased Systems", "radu calinescu,lars grunske,marta z. kwiatkowska,raffaela mirandola,giordano tamburrelli"
Applications, 82, 2011, "Status and trends of mobilehealth applications for iOS devices A developers perspective", "chang liu,qing zhu,kenneth a. holroyd,elizabeth k. seng"
Performance, 117, 2009, "Reversible data hiding for high quality images using modification of prediction errors", "wien hong,tung-shou chen,chih-wei shiu"
Performance, 77, 2011, "Threshold visual secret sharing by random grids", "tzung-her chen,kai-hsiang tsao"
Performance, 76, 2012, "A novel color image encryption algorithm based on DNA sequence operation and hyperchaotic system", "xiaopeng wei,ling guo,qiang zhang,jianxin zhang,shiguo lian"
Performance, 63, 2013, "Estimating mobile application energy consumption using program analysis", "shuai hao,ding li,william g. j. halfond,ramesh govindan"
Performance, 62, 2010, "Process mining a twostep approach to balance between underfitting and overfitting", "wil m. p. van der aalst,vladimir a. rubin,h. m. w. verbeek,boudewijn f. van dongen,ekkart kindler,christian w. gunther"
Miscellaneous, 42, 2009, "Incremental Clone Detection", "nils gode,rainer koschke"
