Index, Cites, Year, Title, Authors
Miscellaneous, 38, 2013, "Social Networking Meets Software Development Perspectives from GitHub MSDN Stack Exchange and TopCoder", "andrew begel,jan bosch,margaret-anne d. storey"
Miscellaneous, 35, 2009, "Identifying Architectural Bad Smells", "joshua garcia,daniel popescu,george edwards,nenad medvidovic"
Miscellaneous, 33, 2014, "Variability in Software Systems  A Systematic Literature Review", "matthias galster,danny weyns,dan tofan,bartosz michalik,paris avgeriou"
Miscellaneous, 26, 2009, "ModelDriven Development for secure information systems", "eduardo fernandez-medina,jan jurjens,juan trujillo,sushil jajodia"
Testing, 300, 2011, "An Analysis and Survey of the Development of Mutation Testing", "yue jia,mark harman"
Testing, 224, 2012, "Regression testing minimization selection and prioritization a survey", "shin yoo,mark harman"
Testing, 137, 2011, "A practical guide for using statistical tests to assess randomized algorithms in software engineering", "andrea arcuri,lionel c. briand"
Testing, 116, 2010, "A Theoretical and Empirical Study of SearchBased Testing Local Global and Hybrid Search", "mark harman,phil mcminn"
Testing, 115, 2009, "A systematic review of searchbased testing for nonfunctional system properties", "wasif afzal,richard torkar,robert feldt"
Source Code, 161, 2010, "DECOR A Method for the Specification and Detection of Code and Design Smells", "naouel moha,yann-gael gueheneuc,laurence duchien,anne-francoise le meur"
Source Code, 129, 2013, "Feature location in source code a taxonomy and survey", "bogdan dit,meghan revelle,malcom gethers,denys poshyvanyk"
Source Code, 103, 2009, "Software Architecture Reconstruction A ProcessOriented Taxonomy", "stephane ducasse,damien pollet"
Source Code, 102, 2009, "Do code clones matter", "elmar jurgens,florian deissenboeck,benjamin hummel,stefan wagner 0001"
Source Code, 89, 2009, "Identification of Move Method Refactoring Opportunities", "nikolaos tsantalis,alexander chatzigeorgiou"
Architecture, 67, 2009, "Software architecture many faces many places yet a central discipline", "richard n. taylor"
Architecture, 67, 2010, "From integration to composition On the impact of software product lines global development and ecosystems", "jan bosch,petra bosch-sijtsema"
Architecture, 62, 2011, "Reverse engineering feature models", "steven she,rafael lotufo,thorsten berger,andrzej wasowski,krzysztof czarnecki"
Architecture, 55, 2011, "A genetic algorithm for optimized feature selection with resource constraints in software product lines", "jianmei guo,jules white,guangxin wang,jian li,yinglin wang"
Architecture, 53, 2009, "Selecting highly optimal architectural feature sets with Filtered Cartesian Flattening", "jules white,brian dougherty,douglas c. schmidt"
Modeling, 273, 2009, "The Physics of Notations Toward a Scientific Basis for Constructing Visual Notations in Software Engineering", "daniel l. moody"
Modeling, 190, 2009, "The Palladio component model for modeldriven performance prediction", "steffen becker,heiko koziolek,ralf h. reussner"
Modeling, 87, 2011, "Runtime Verification for LTL and TLTL", "andreas klaus bauer,martin leucker,christian schallhart"
Modeling, 68, 2009, "Model evolution by runtime parameter adaptation", "ilenia epifani,carlo ghezzi,raffaela mirandola,giordano tamburrelli"
Modeling, 67, 2009, "Testing with model checkers a survey", "gordon fraser,franz wotawa,paul ammann"
Developer, 639, 2009, "Guidelines for conducting and reporting case study research in software engineering", "per runeson,martin host"
Developer, 320, 2009, "Systematic literature reviews in software engineering  A systematic literature review", "barbara a. kitchenham,pearl brereton,david budgen,mark turner,john bailey,stephen g. linkman"
Developer, 157, 2012, "A decade of agile methodologies Towards explaining agile software development", "torgeir dingsoyr,sridhar p. nerur,venugopal balijepally,nils brede moe"
Developer, 127, 2009, "A Systematic Survey of Program Comprehension through Dynamic Analysis", "bas cornelissen,andy zaidman,arie van deursen,leon moonen,rainer koschke"
Developer, 115, 2010, "Empirical evidence in global software engineering a systematic review", "darja smite,claes wohlin,tony gorschek,robert feldt"
