Name, Score
martin glinz, 0.000002
chris verhoef, 0.000002
niclas ohlsson, 0.000002
radu marinescu 0001, 0.000002
mayuram s. krishnan, 0.000002
diomidis spinellis, 0.000002
kevin ryan, 0.000002
hareton leung, 0.000002
harry m. sneed, 0.000001
hai zhuge, 0.000001
westley weimer, 0.000001
gerard j. holzmann, 0.000001
jianhui tian, 0.000001
alexander l. wolf, 0.000001
johannes c. van vliet, 0.000001
william n. robinson, 0.000001
ian f. alexander, 0.000001
steven p. reiss, 0.000001
bran selic, 0.000001
les hatton, 0.000001
michel diaz, 0.000000
sallie m. henry, 0.000000
jeannette m. wing, 0.000000
giuseppe visaggio, 0.000000
edward m. reingold, 0.000000
ben shneiderman, 0.000000
grady booch, 0.000000
r. geoff dromey, 0.000000
amnon naamad, 0.000000
nigel bevan, 0.000000
deependra moitra, 0.000000
lotfi a. zadeh, 0.000000
ben light, 0.000000
henry chang, 0.000000
brenda s. baker, 0.000000
